,Right Mass,,Left Mass,
17.843,-1.47E-02,-2.48E-03,6.84E-03,-1.57E-03
17.894,3.72E-03,-2.71E-03,1.38E-02,-1.53E-03
17.944,2.30E-02,-2.08E-03,2.00E-02,-1.34E-03
17.995,4.16E-02,-1.33E-03,2.57E-02,-9.78E-04
18.045,5.94E-02,-1.03E-03,3.08E-02,-7.21E-04
18.095,7.48E-02,-2.66E-04,3.52E-02,-2.55E-04
18.146,8.97E-02,1.19E-03,3.88E-02,1.09E-04
18.196,0.102,2.13E-03,4.17E-02,-5.51E-05
18.247,0.111,3.08E-03,4.35E-02,-1.53E-04
18.297,0.118,4.03E-03,4.39E-02,-2.74E-04
18.348,0.121,4.28E-03,4.38E-02,-3.09E-04
18.398,0.122,4.44E-03,4.28E-02,-2.94E-04
18.448,0.121,4.29E-03,4.09E-02,-5.34E-04
18.499,0.116,4.01E-03,3.76E-02,-6.14E-04
18.549,0.108,3.05E-03,3.37E-02,-8.16E-04
18.6,9.72E-02,2.14E-03,2.90E-02,-1.06E-03
18.65,8.40E-02,8.65E-04,2.36E-02,-8.83E-04
18.7,6.89E-02,-2.08E-04,1.76E-02,-1.14E-03
18.751,5.19E-02,-7.51E-04,1.16E-02,-1.73E-03
18.801,3.51E-02,-1.95E-03,4.97E-03,-1.81E-03
18.852,1.54E-02,-2.36E-03,-1.33E-03,-1.98E-03
18.902,-5.01E-03,-2.75E-03,-7.71E-03,-2.09E-03
18.952,-2.34E-02,-2.69E-03,-1.42E-02,-2.06E-03
19.003,-4.20E-02,-1.74E-03,-2.00E-02,-2.04E-03
19.053,-5.93E-02,-6.81E-04,-2.56E-02,-2.04E-03
19.104,-7.47E-02,-2.06E-04,-3.05E-02,-1.80E-03
19.154,-8.94E-02,9.26E-04,-3.48E-02,-1.81E-03
19.204,-0.101,2.03E-03,-3.81E-02,-1.68E-03
19.255,-0.111,2.97E-03,-4.07E-02,-1.69E-03
19.305,-0.118,3.60E-03,-4.23E-02,-1.79E-03
19.356,-0.123,4.32E-03,-4.27E-02,-1.72E-03
19.406,-0.124,4.46E-03,-4.28E-02,-1.79E-03
19.456,-0.123,4.45E-03,-4.20E-02,-1.85E-03
19.507,-0.118,3.85E-03,-3.99E-02,-1.65E-03
19.557,-0.111,3.11E-03,-3.64E-02,-1.73E-03
19.608,-0.101,2.02E-03,-3.26E-02,-1.91E-03
19.658,-8.83E-02,8.73E-04,-2.81E-02,-1.84E-03
19.708,-7.46E-02,-4.32E-04,-2.30E-02,-1.79E-03
19.759,-5.77E-02,-9.62E-04,-1.73E-02,-1.81E-03
19.809,-4.02E-02,-1.90E-03,-1.11E-02,-1.84E-03
19.86,-2.15E-02,-2.27E-03,-4.89E-03,-1.66E-03
19.91,-3.06E-03,-2.55E-03,1.34E-03,-1.55E-03
19.96,1.62E-02,-2.50E-03,7.51E-03,-1.50E-03
20.011,3.57E-02,-1.86E-03,1.39E-02,-1.42E-03
20.061,5.35E-02,-1.25E-03,1.95E-02,-1.17E-03
20.112,6.97E-02,-2.04E-04,2.48E-02,-1.19E-03
20.162,8.48E-02,9.77E-04,2.96E-02,-9.49E-04
20.212,9.78E-02,1.92E-03,3.34E-02,-7.67E-04
20.263,0.108,3.02E-03,3.68E-02,-5.06E-04
20.313,0.116,3.60E-03,3.93E-02,-4.10E-04
20.364,0.12,3.79E-03,4.08E-02,-4.18E-04
20.414,0.122,3.82E-03,4.14E-02,-2.08E-04
20.465,0.121,4.11E-03,4.14E-02,-5.15E-04
20.515,0.117,3.68E-03,4.07E-02,-4.50E-04
20.565,0.111,2.95E-03,3.88E-02,-5.71E-04
20.616,0.1,2.05E-03,3.58E-02,-8.62E-04
20.666,8.83E-02,7.24E-04,3.20E-02,-8.73E-04
20.717,7.42E-02,-5.81E-04,2.75E-02,-1.03E-03
20.767,5.74E-02,-1.44E-03,2.26E-02,-1.21E-03
20.817,3.94E-02,-2.10E-03,1.68E-02,-1.30E-03
20.868,2.09E-02,-2.70E-03,1.08E-02,-1.67E-03
20.918,2.53E-03,-2.77E-03,4.54E-03,-1.78E-03
20.969,-1.74E-02,-2.63E-03,-1.50E-03,-1.98E-03
21.019,-3.51E-02,-2.57E-03,-8.08E-03,-2.10E-03
21.069,-5.27E-02,-1.70E-03,-1.43E-02,-2.04E-03
21.12,-6.93E-02,-8.56E-04,-2.01E-02,-2.15E-03
21.17,-8.48E-02,5.68E-04,-2.54E-02,-1.76E-03
21.221,-9.75E-02,1.87E-03,-3.04E-02,-1.76E-03
21.271,-0.108,2.78E-03,-3.50E-02,-1.81E-03
21.321,-0.115,3.64E-03,-3.83E-02,-1.74E-03
21.372,-0.121,4.21E-03,-4.07E-02,-1.62E-03
21.422,-0.123,4.49E-03,-4.24E-02,-1.76E-03
21.473,-0.123,4.45E-03,-4.31E-02,-1.68E-03
21.523,-0.119,4.18E-03,-4.30E-02,-1.73E-03
21.573,-0.114,3.48E-03,-4.21E-02,-1.62E-03
21.624,-0.104,2.57E-03,-3.97E-02,-1.87E-03
21.674,-9.31E-02,1.59E-03,-3.66E-02,-1.81E-03
21.725,-7.90E-02,4.64E-04,-3.25E-02,-1.95E-03
21.775,-6.35E-02,-1.03E-03,-2.76E-02,-1.93E-03
21.825,-4.69E-02,-1.52E-03,-2.25E-02,-1.93E-03
21.876,-2.89E-02,-2.11E-03,-1.67E-02,-2.20E-03
21.926,-1.00E-02,-2.42E-03,-1.02E-02,-2.07E-03
21.977,9.62E-03,-2.48E-03,-3.95E-03,-1.90E-03
22.027,2.92E-02,-2.40E-03,2.40E-03,-1.62E-03
22.077,4.69E-02,-1.68E-03,8.97E-03,-1.88E-03
22.128,6.35E-02,-8.82E-04,1.53E-02,-1.47E-03
22.178,7.93E-02,2.52E-04,2.14E-02,-1.50E-03
22.229,9.30E-02,1.51E-03,2.69E-02,-1.03E-03
22.279,0.104,2.57E-03,3.15E-02,-7.22E-04
22.33,0.113,3.37E-03,3.60E-02,-5.47E-04
22.38,0.118,3.73E-03,3.93E-02,-4.57E-04
22.43,0.121,3.93E-03,4.20E-02,-1.68E-04
22.481,0.121,4.06E-03,4.34E-02,-1.80E-04
22.531,0.118,4.07E-03,4.42E-02,-2.60E-04
22.582,0.112,3.39E-03,4.43E-02,-1.94E-04
22.632,0.104,2.56E-03,4.34E-02,-2.18E-04
22.682,9.25E-02,1.37E-03,4.10E-02,-3.82E-04
22.733,7.86E-02,3.84E-05,3.78E-02,-7.02E-04
22.783,6.34E-02,-7.66E-04,3.37E-02,-9.42E-04
22.834,4.58E-02,-1.85E-03,2.83E-02,-9.25E-04
22.884,2.76E-02,-2.26E-03,2.30E-02,-1.10E-03
22.934,8.38E-03,-2.56E-03,1.70E-02,-1.48E-03
22.985,-1.02E-02,-2.65E-03,1.07E-02,-1.52E-03
23.035,-2.85E-02,-2.61E-03,3.64E-03,-1.79E-03
23.086,-4.66E-02,-1.98E-03,-2.92E-03,-1.79E-03
23.136,-6.29E-02,-1.02E-03,-1.02E-02,-1.92E-03
23.186,-7.77E-02,-2.85E-04,-1.69E-02,-2.04E-03
23.237,-9.13E-02,9.11E-04,-2.30E-02,-1.82E-03
23.287,-0.102,2.07E-03,-2.94E-02,-1.87E-03
23.338,-0.112,3.10E-03,-3.46E-02,-1.90E-03
23.388,-0.118,3.88E-03,-3.94E-02,-1.72E-03
23.438,-0.121,3.91E-03,-4.27E-02,-1.68E-03
23.489,-0.122,3.98E-03,-4.54E-02,-1.58E-03
23.539,-0.12,3.73E-03,-4.71E-02,-1.64E-03
23.59,-0.114,3.23E-03,-4.77E-02,-1.65E-03
23.64,-0.106,2.45E-03,-4.73E-02,-1.89E-03
23.69,-9.57E-02,1.15E-03,-4.59E-02,-1.90E-03
23.741,-8.27E-02,-7.53E-05,-4.29E-02,-1.80E-03
23.791,-6.84E-02,-8.19E-04,-3.93E-02,-1.68E-03
23.842,-5.29E-02,-1.74E-03,-3.44E-02,-1.98E-03
23.892,-3.44E-02,-2.54E-03,-2.88E-02,-1.99E-03
23.942,-1.62E-02,-2.99E-03,-2.27E-02,-2.09E-03
23.993,2.45E-03,-2.84E-03,-1.58E-02,-2.10E-03
24.043,2.11E-02,-2.44E-03,-9.17E-03,-1.84E-03
24.094,3.97E-02,-1.82E-03,-1.64E-03,-1.95E-03
24.144,5.70E-02,-1.53E-03,6.07E-03,-1.86E-03
24.195,7.29E-02,-4.65E-04,1.34E-02,-1.83E-03
24.245,8.66E-02,7.67E-04,2.00E-02,-1.27E-03
24.295,9.87E-02,1.61E-03,2.70E-02,-1.14E-03
24.346,0.107,2.96E-03,3.28E-02,-1.04E-03
24.396,0.114,3.56E-03,3.83E-02,-2.76E-04
24.447,0.118,3.96E-03,4.27E-02,-2.16E-04
24.497,0.119,4.05E-03,4.60E-02,-1.77E-04
24.547,0.117,3.96E-03,4.84E-02,-8.26E-05
24.598,0.113,3.85E-03,4.99E-02,1.34E-04
24.648,0.105,2.46E-03,5.03E-02,7.79E-05
24.699,9.55E-02,1.65E-03,4.95E-02,-2.25E-04
24.749,8.25E-02,5.00E-04,4.77E-02,-1.95E-04
24.799,6.83E-02,-4.70E-04,4.40E-02,-3.18E-04
24.85,5.20E-02,-1.20E-03,3.94E-02,-4.99E-04
24.9,3.44E-02,-1.89E-03,3.44E-02,-8.04E-04
24.951,1.59E-02,-2.22E-03,2.85E-02,-8.44E-04
25.001,-2.34E-03,-2.59E-03,2.15E-02,-9.63E-04
25.051,-2.12E-02,-2.62E-03,1.45E-02,-1.31E-03
25.102,-3.97E-02,-1.84E-03,5.87E-03,-1.72E-03
25.152,-5.53E-02,-1.10E-03,-1.68E-03,-1.88E-03
25.203,-7.11E-02,-3.87E-04,-9.75E-03,-2.02E-03
25.253,-8.49E-02,2.74E-04,-1.79E-02,-1.99E-03
25.303,-9.63E-02,1.88E-03,-2.51E-02,-1.77E-03
25.354,-0.106,2.86E-03,-3.21E-02,-1.82E-03
25.404,-0.113,3.69E-03,-3.86E-02,-1.67E-03
25.455,-0.117,3.99E-03,-4.41E-02,-1.62E-03
25.505,-0.119,4.42E-03,-4.86E-02,-1.59E-03
25.555,-0.118,4.28E-03,-5.20E-02,-1.63E-03
25.606,-0.114,3.76E-03,-5.41E-02,-1.45E-03
25.656,-0.107,2.67E-03,-5.49E-02,-1.64E-03
25.707,-9.73E-02,1.86E-03,-5.47E-02,-1.67E-03
25.757,-8.58E-02,9.96E-04,-5.30E-02,-1.83E-03
25.807,-7.21E-02,-1.45E-04,-5.02E-02,-1.84E-03
25.858,-5.65E-02,-1.29E-03,-4.55E-02,-1.85E-03
25.908,-4.01E-02,-1.63E-03,-4.06E-02,-2.06E-03
25.959,-2.32E-02,-2.65E-03,-3.41E-02,-2.07E-03
26.009,-4.69E-03,-2.48E-03,-2.70E-02,-2.04E-03
26.06,1.44E-02,-2.63E-03,-1.89E-02,-1.92E-03
26.11,3.21E-02,-2.04E-03,-1.08E-02,-2.23E-03
26.16,4.94E-02,-1.59E-03,-2.14E-03,-1.98E-03
26.211,6.52E-02,-7.67E-04,6.08E-03,-1.70E-03
26.261,7.95E-02,3.95E-05,1.52E-02,-1.36E-03
26.312,9.13E-02,1.10E-03,2.28E-02,-1.25E-03
26.362,0.101,2.06E-03,3.13E-02,-7.10E-04
26.412,0.109,2.68E-03,3.79E-02,-3.85E-04
26.463,0.113,2.92E-03,4.42E-02,-7.34E-05
26.513,0.115,3.64E-03,4.95E-02,1.34E-04
26.564,0.115,3.30E-03,5.34E-02,4.76E-04
26.614,0.112,3.23E-03,5.59E-02,8.04E-04
26.664,0.105,2.40E-03,5.75E-02,9.23E-04
26.715,9.68E-02,1.58E-03,5.78E-02,8.55E-04
26.765,8.53E-02,6.06E-04,5.68E-02,7.80E-04
26.816,7.14E-02,-1.45E-04,5.45E-02,7.12E-04
26.866,5.65E-02,-1.06E-03,5.03E-02,4.98E-04
26.916,3.92E-02,-2.31E-03,4.53E-02,-7.47E-05
26.967,2.28E-02,-2.60E-03,3.89E-02,-6.91E-05
27.017,4.92E-03,-2.93E-03,3.17E-02,-6.93E-04
27.068,-1.34E-02,-2.79E-03,2.36E-02,-1.04E-03
27.118,-3.11E-02,-2.45E-03,1.50E-02,-1.32E-03
27.168,-4.79E-02,-1.85E-03,5.66E-03,-1.49E-03
27.219,-6.32E-02,-9.21E-04,-3.75E-03,-1.84E-03
27.269,-7.72E-02,-2.00E-04,-1.27E-02,-2.02E-03
27.32,-8.94E-02,9.11E-04,-2.20E-02,-1.93E-03
27.37,-9.92E-02,1.82E-03,-3.08E-02,-1.92E-03
27.42,-0.107,2.78E-03,-3.83E-02,-1.81E-03
27.471,-0.113,3.37E-03,-4.58E-02,-1.79E-03
27.521,-0.115,3.56E-03,-5.19E-02,-1.58E-03
27.572,-0.115,3.49E-03,-5.67E-02,-1.56E-03
27.622,-0.113,3.28E-03,-6.01E-02,-1.47E-03
27.672,-0.107,2.65E-03,-6.22E-02,-1.63E-03
27.723,-9.85E-02,1.38E-03,-6.28E-02,-1.43E-03
27.773,-8.84E-02,5.74E-04,-6.20E-02,-1.51E-03
27.824,-7.55E-02,-4.02E-04,-6.01E-02,-1.49E-03
27.874,-6.17E-02,-1.50E-03,-5.59E-02,-1.94E-03
27.924,-4.62E-02,-2.12E-03,-5.04E-02,-1.99E-03
27.975,-2.93E-02,-2.96E-03,-4.38E-02,-2.04E-03
28.025,-1.31E-02,-2.75E-03,-3.66E-02,-2.29E-03
28.076,4.96E-03,-2.68E-03,-2.74E-02,-2.08E-03
28.126,2.33E-02,-2.78E-03,-1.86E-02,-1.86E-03
28.177,4.05E-02,-2.05E-03,-8.66E-03,-2.14E-03
28.227,5.54E-02,-1.31E-03,1.73E-03,-1.82E-03
28.277,7.03E-02,-8.70E-04,1.16E-02,-1.60E-03
28.328,8.32E-02,4.67E-04,2.09E-02,-1.30E-03
28.378,9.41E-02,1.28E-03,3.02E-02,-1.00E-03
28.429,0.102,2.01E-03,3.90E-02,-1.21E-04
28.479,0.108,2.58E-03,4.68E-02,1.69E-04
28.529,0.111,3.11E-03,5.33E-02,4.14E-04
28.58,0.112,2.93E-03,5.89E-02,1.12E-03
28.63,0.11,2.75E-03,6.28E-02,1.46E-03
28.681,0.105,2.85E-03,6.51E-02,1.47E-03
28.731,9.80E-02,2.08E-03,6.64E-02,1.68E-03
28.781,8.83E-02,8.88E-04,6.61E-02,1.74E-03
28.832,7.63E-02,2.70E-04,6.44E-02,1.62E-03
28.882,6.30E-02,-5.53E-04,6.10E-02,1.39E-03
28.933,4.71E-02,-1.29E-03,5.58E-02,9.40E-04
28.983,3.02E-02,-1.98E-03,4.90E-02,4.11E-04
29.033,1.32E-02,-2.10E-03,4.13E-02,-1.17E-04
29.084,-3.95E-03,-2.40E-03,3.25E-02,-5.84E-04
29.134,-2.09E-02,-1.93E-03,2.24E-02,-8.41E-04
29.185,-3.75E-02,-1.67E-03,1.26E-02,-1.50E-03
29.235,-5.33E-02,-1.13E-03,2.01E-03,-1.78E-03
29.285,-6.79E-02,-1.98E-04,-9.15E-03,-1.84E-03
29.336,-8.02E-02,6.95E-04,-1.94E-02,-1.97E-03
29.386,-9.13E-02,1.32E-03,-2.98E-02,-2.00E-03
29.437,-9.95E-02,1.86E-03,-3.92E-02,-1.80E-03
29.487,-0.106,2.68E-03,-4.78E-02,-1.82E-03
29.537,-0.11,2.94E-03,-5.52E-02,-1.51E-03
29.588,-0.111,3.21E-03,-6.15E-02,-1.02E-03
29.638,-0.11,3.00E-03,-6.63E-02,-6.77E-04
29.689,-0.106,2.42E-03,-6.94E-02,-4.36E-04
29.739,-9.93E-02,1.86E-03,-7.09E-02,-4.15E-04
29.789,-9.07E-02,9.29E-04,-7.08E-02,-3.90E-04
29.84,-7.95E-02,4.13E-05,-6.90E-02,-6.14E-04
29.89,-6.72E-02,-6.09E-04,-6.54E-02,-6.72E-04
29.941,-5.29E-02,-1.58E-03,-5.99E-02,-8.04E-04
29.991,-3.73E-02,-1.90E-03,-5.34E-02,-9.71E-04
30.042,-2.02E-02,-2.68E-03,-4.51E-02,-1.00E-03
30.092,-3.31E-03,-2.67E-03,-3.56E-02,-1.31E-03
30.142,1.34E-02,-2.54E-03,-2.57E-02,-1.28E-03
30.193,2.97E-02,-2.76E-03,-1.43E-02,-1.66E-03
30.243,4.54E-02,-1.43E-03,-3.53E-03,-1.49E-03
30.294,6.06E-02,-1.12E-03,7.64E-03,-1.37E-03
30.344,7.38E-02,-3.11E-04,1.94E-02,-1.08E-03
30.394,8.50E-02,3.25E-04,3.03E-02,-8.68E-04
30.445,9.43E-02,1.33E-03,3.98E-02,1.99E-04
30.495,0.101,1.57E-03,4.91E-02,5.78E-04
30.546,0.105,2.10E-03,5.72E-02,1.31E-03
30.596,0.107,2.64E-03,6.37E-02,1.49E-03
30.646,0.106,2.30E-03,6.89E-02,1.88E-03
30.697,0.104,2.15E-03,7.25E-02,2.30E-03
30.747,9.77E-02,1.39E-03,7.40E-02,2.41E-03
30.798,8.95E-02,7.56E-04,7.45E-02,2.62E-03
30.848,7.87E-02,-2.20E-05,7.30E-02,2.19E-03
30.898,6.68E-02,-1.10E-03,6.97E-02,2.06E-03
30.949,5.33E-02,-1.64E-03,6.44E-02,1.41E-03
30.999,3.76E-02,-2.66E-03,5.72E-02,7.36E-04
31.05,2.12E-02,-2.69E-03,4.91E-02,8.32E-05
31.1,5.49E-03,-2.89E-03,3.94E-02,-4.42E-04
31.15,-1.18E-02,-3.29E-03,2.87E-02,-1.10E-03
31.201,-2.81E-02,-2.74E-03,1.78E-02,-1.66E-03
31.251,-4.35E-02,-1.98E-03,6.49E-03,-1.77E-03
31.302,-5.76E-02,-1.56E-03,-5.35E-03,-2.13E-03
31.352,-7.06E-02,-7.38E-04,-1.80E-02,-2.30E-03
31.402,-8.21E-02,2.12E-04,-2.94E-02,-2.08E-03
31.453,-9.13E-02,7.86E-04,-3.98E-02,-1.86E-03
31.503,-9.87E-02,1.51E-03,-5.00E-02,-1.80E-03
31.554,-0.104,2.07E-03,-5.89E-02,-1.34E-03
31.604,-0.107,2.51E-03,-6.61E-02,-8.95E-04
31.654,-0.106,2.37E-03,-7.22E-02,-6.67E-04
31.705,-0.105,2.04E-03,-7.58E-02,-4.34E-04
31.755,-9.96E-02,1.54E-03,-7.84E-02,-2.53E-04
31.806,-9.19E-02,8.78E-04,-7.87E-02,-2.16E-04
31.856,-8.27E-02,1.60E-04,-7.72E-02,-2.85E-04
31.907,-7.18E-02,-9.11E-04,-7.35E-02,-8.39E-04
31.957,-5.89E-02,-1.34E-03,-6.84E-02,-7.45E-04
32.007,-4.42E-02,-2.18E-03,-6.08E-02,-8.22E-04
32.058,-2.89E-02,-2.64E-03,-5.27E-02,-1.51E-03
32.108,-1.31E-02,-2.79E-03,-4.26E-02,-1.53E-03
32.159,2.72E-03,-2.81E-03,-3.19E-02,-1.63E-03
32.209,1.90E-02,-2.83E-03,-1.99E-02,-1.97E-03
32.259,3.47E-02,-2.36E-03,-7.27E-03,-1.66E-03
32.31,4.95E-02,-1.64E-03,5.09E-03,-1.58E-03
32.36,6.29E-02,-8.00E-04,1.75E-02,-1.32E-03
32.411,7.53E-02,-1.60E-04,2.95E-02,-9.94E-04
32.461,8.53E-02,6.30E-04,4.09E-02,-2.00E-04
32.511,9.31E-02,9.96E-04,5.15E-02,6.58E-04
32.562,9.85E-02,2.01E-03,6.09E-02,8.31E-04
32.612,0.102,2.37E-03,6.85E-02,2.02E-03
32.663,0.103,2.17E-03,7.46E-02,2.59E-03
32.713,0.101,2.14E-03,7.85E-02,2.99E-03
32.763,9.76E-02,1.72E-03,8.09E-02,3.26E-03
32.814,9.08E-02,1.23E-03,8.15E-02,3.46E-03
32.864,8.23E-02,1.98E-04,8.03E-02,3.26E-03
32.915,7.18E-02,-4.64E-04,7.70E-02,2.99E-03
32.965,5.89E-02,-1.32E-03,7.19E-02,2.53E-03
33.015,4.51E-02,-1.76E-03,6.48E-02,1.91E-03
33.066,3.10E-02,-2.53E-03,5.61E-02,1.14E-03
33.116,1.52E-02,-2.89E-03,4.57E-02,1.74E-04
33.167,-9.64E-04,-2.91E-03,3.45E-02,-4.62E-04
33.217,-1.74E-02,-2.85E-03,2.21E-02,-1.17E-03
33.267,-3.22E-02,-2.39E-03,9.64E-03,-1.70E-03
33.318,-4.65E-02,-1.97E-03,-3.79E-03,-2.00E-03
33.368,-5.97E-02,-1.31E-03,-1.62E-02,-1.91E-03
33.419,-7.19E-02,-7.23E-04,-2.93E-02,-1.98E-03
33.469,-8.15E-02,3.08E-04,-4.14E-02,-1.50E-03
33.519,-9.02E-02,8.82E-04,-5.24E-02,-1.30E-03
33.57,-9.65E-02,1.34E-03,-6.24E-02,-1.12E-03
33.62,-0.1,1.86E-03,-7.04E-02,-7.72E-04
33.671,-0.102,2.04E-03,-7.70E-02,-5.08E-04
33.721,-0.101,1.88E-03,-8.20E-02,-3.31E-05
33.772,-9.82E-02,1.29E-03,-8.46E-02,1.64E-04
33.822,-9.26E-02,7.58E-04,-8.54E-02,-2.42E-04
33.872,-8.52E-02,6.77E-04,-8.42E-02,-2.52E-04
33.923,-7.54E-02,-3.97E-04,-8.04E-02,-1.70E-04
33.973,-6.42E-02,-1.15E-03,-7.49E-02,-4.93E-04
34.024,-5.14E-02,-1.66E-03,-6.74E-02,-7.18E-04
34.074,-3.78E-02,-2.48E-03,-5.84E-02,-1.44E-03
34.124,-2.26E-02,-2.92E-03,-4.77E-02,-1.79E-03
34.175,-7.02E-03,-2.82E-03,-3.61E-02,-1.93E-03
34.225,7.93E-03,-2.95E-03,-2.37E-02,-1.88E-03
34.276,2.37E-02,-2.73E-03,-1.06E-02,-1.79E-03
34.326,3.84E-02,-1.95E-03,3.19E-03,-1.75E-03
34.376,5.16E-02,-1.22E-03,1.67E-02,-1.09E-03
34.427,6.44E-02,-1.12E-03,2.94E-02,-7.46E-04
34.477,7.50E-02,-2.22E-04,4.24E-02,-1.68E-04
34.528,8.43E-02,6.62E-04,5.36E-02,5.23E-04
34.578,9.09E-02,1.08E-03,6.36E-02,1.26E-03
34.628,9.54E-02,1.34E-03,7.22E-02,2.05E-03
34.679,9.78E-02,1.62E-03,7.87E-02,2.56E-03
34.729,9.80E-02,1.32E-03,8.36E-02,3.14E-03
34.78,9.58E-02,1.34E-03,8.63E-02,3.55E-03
34.83,9.16E-02,1.07E-03,8.70E-02,3.73E-03
34.88,8.42E-02,1.91E-04,8.61E-02,3.48E-03
34.931,7.62E-02,-5.41E-04,8.30E-02,3.33E-03
34.981,6.51E-02,-1.39E-03,7.74E-02,2.69E-03
35.032,5.23E-02,-2.12E-03,7.01E-02,1.76E-03
35.082,3.88E-02,-2.76E-03,6.09E-02,9.00E-04
35.132,2.53E-02,-2.82E-03,5.07E-02,4.04E-04
35.183,1.03E-02,-2.91E-03,3.80E-02,-3.13E-04
35.233,-5.03E-03,-3.28E-03,2.49E-02,-8.73E-04
35.284,-2.06E-02,-2.93E-03,1.16E-02,-1.02E-03
35.334,-3.45E-02,-2.58E-03,-2.35E-03,-1.70E-03
35.384,-4.80E-02,-1.96E-03,-1.67E-02,-1.75E-03
35.435,-6.02E-02,-1.43E-03,-2.98E-02,-1.56E-03
35.485,-7.12E-02,-7.93E-04,-4.23E-02,-1.45E-03
35.536,-8.06E-02,-2.40E-04,-5.37E-02,-1.16E-03
35.586,-8.79E-02,6.76E-04,-6.46E-02,-7.48E-04
